participant_uid,condition,item_role,test_boundary_position,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
task_only_00028,task_only,lure,pre,1.2866021749998708,1.6014351187500324,-0.3148329437501616
task_only_00029,task_only,target,post,3.2705247571429936,1.6223722769226208,1.6481524802203729
task_only_00029,task_only,target,mid,2.930142874998637,1.4481006249995214,1.4820422499991157
task_only_00029,task_only,target,pre,3.8983323600012225,1.9827793200005543,1.9155530400006682
task_only_00029,task_only,lure,post,3.801451024999551,2.273790824999651,1.5276601999999002
task_only_00029,task_only,lure,mid,2.4849311750009897,2.044471287500528,0.4404598875004617
task_only_00029,task_only,lure,pre,3.1605263666679093,2.592873471428902,0.5676528952390072
task_only_00030,task_only,target,post,4.156407540000024,3.46394874000016,0.6924587999998639
task_only_00030,task_only,target,mid,4.3434413642856144,2.6278575333332506,1.7155838309523639
task_only_00030,task_only,target,pre,3.671292064285808,5.704764566666806,-2.033472502380998
task_only_00030,task_only,lure,post,2.861889400000109,2.3712641799998893,0.4906252200002199
task_only_00030,task_only,lure,mid,5.457896333333135,4.497084554545423,0.9608117787877122
task_only_00030,task_only,lure,pre,3.527346529999977,3.4145469900000536,0.11279953999992332
task_only_00032,task_only,target,post,1.4694968230794005,2.1355625000017295,-0.666065676922329
task_only_00032,task_only,target,mid,2.425218942866195,1.653513961536541,0.7717049813296539
task_only_00032,task_only,target,pre,2.6127319749987996,3.7100723249932344,-1.0973403499944347
task_only_00032,task_only,lure,post,1.7171304461528332,3.0494484428574133,-1.3323179967045802
task_only_00032,task_only,lure,mid,2.4492575214265213,1.7380975833317887,0.7111599380947327
task_only_00032,task_only,lure,pre,2.3656462461557775,1.748262200001461,0.6173840461543165
task_only_00033,task_only,target,post,2.1505289499999662,1.4195528812500129,0.7309760687499534
task_only_00033,task_only,target,mid,1.296414820000018,1.4282609266666593,-0.1318461066666412
task_only_00033,task_only,target,pre,2.1949509333333026,1.4526304714285547,0.7423204619047479
task_only_00033,task_only,lure,post,1.6992230727273017,1.794212333333361,-0.09498926060605939
task_only_00033,task_only,lure,mid,1.7009498714286175,1.553888253846148,0.1470616175824695
task_only_00033,task_only,lure,pre,1.5280103666666744,1.4980760181817914,0.029934348484883078
