participant_uid,condition,item_role,mean_rt_incorrect,mean_rt_correct,delta_rt_incorrect_minus_correct
task_only_00045,task_only,target,2.133278751853612,3.0230195060615768,-0.8897407542079647
task_only_00045,task_only,lure,1.9798197243873756,2.052283078949825,-0.07246335456244934
task_only_00046,task_only,target,4.023288953843383,2.336622111762956,1.686666842080427
task_only_00046,task_only,lure,3.2930445611095314,2.989792611904531,0.3032519492050003
task_only_00047,task_only,target,1.8697883583420964,1.4376125666688797,0.43217579167321674
task_only_00047,task_only,lure,1.7687780266685877,1.9698605366633273,-0.20108250999473953
task_only_00048,task_only,target,2.7300347392863062,2.6889766625008633,0.04105807678544293
task_only_00048,task_only,lure,3.551273910518687,3.5431378317028623,0.008136078815824455
task_only_00049,task_only,target,2.818371491666653,2.6197473555555555,0.19862413611109764
task_only_00049,task_only,lure,2.8586079680000194,3.2272885828571622,-0.3686806148571429
task_only_00050,task_only,target,1.984975957692331,2.200842961764719,-0.21586700407238824
task_only_00050,task_only,lure,2.2451046107143093,2.306691349999994,-0.06158673928568481
task_only_00051,task_only,target,3.4534573181818318,3.04827883421053,0.40517848397130196
task_only_00051,task_only,lure,3.6147983250002085,3.216129375000016,0.39866895000019253
task_only_00052,task_only,target,1.8210430352940903,2.078763627907181,-0.25772059261309055
task_only_00052,task_only,lure,1.4490620052632661,3.095798370731844,-1.646736365468578
task_only_00053,task_only,target,2.942009372726633,2.1232973815762977,0.8187119911503355
task_only_00053,task_only,lure,2.63280559999882,2.743995988371966,-0.11119038837314621
task_only_00054,task_only,target,1.8562018515129404,1.722793833331067,0.1334080181818733
task_only_00054,task_only,lure,1.353399071047438,2.1882904500049665,-0.8348913789575285
task_only_00055,task_only,target,2.2274312666720815,1.5850148809494429,0.6424163857226386
task_only_00055,task_only,lure,1.8458339468070721,2.4726259230698746,-0.6267919762628025
task_only_00056,task_only,target,2.3170867464255673,1.9956281750073686,0.3214585714181988
task_only_00056,task_only,lure,2.0430041692273404,2.0652715617102233,-0.022267392482882897
task_only_00057,task_only,target,2.6872345785689373,1.745152612491438,0.9420819660774993
task_only_00057,task_only,lure,2.563929503997788,2.071488171421723,0.4924413325760648
task_only_00058,task_only,target,1.7766503434775032,1.7400617243252487,0.03658861915225442
task_only_00058,task_only,lure,1.821923047826757,2.4448348945950635,-0.6229118467683066
task_only_00059,task_only,target,1.8947020600026008,1.1548485459981022,0.7398535140044986
task_only_00059,task_only,lure,1.6356398307700426,1.8915776851069321,-0.25593785433688954
task_only_00060,task_only,target,3.4543692272643303,1.1575830734693635,2.296786153794967
task_only_00060,task_only,lure,1.4966721217396022,1.9914196378384665,-0.49474751609886436
task_only_00061,task_only,target,2.702509633330111,1.9409541509801285,0.7615554823499826
task_only_00061,task_only,lure,2.829090203699673,2.4523960302996617,0.3766941734000113
task_only_00062,task_only,target,2.337798090909432,1.395819230612205,0.9419788602972268
task_only_00062,task_only,lure,1.9680093700000119,2.3472872800002125,-0.3792779100002006
task_only_00063,task_only,target,1.6524129428570242,1.792426318750131,-0.1400133758931068
task_only_00063,task_only,lure,1.7023288323530057,1.6045151615386344,0.09781367081437131
task_only_00064,task_only,target,2.0422331750069134,1.7354501178529713,0.30678305715394205
task_only_00064,task_only,lure,2.4452677583370437,2.330723693745919,0.11454406459112487
task_only_00065,task_only,target,1.8404370176482616,1.6284783730762473,0.2119586445720143
task_only_00065,task_only,lure,2.3046023142867074,1.8976899586955172,0.4069123555911902
task_only_00066,task_only,target,1.2811620925925766,1.3266582666667477,-0.04549617407417106
task_only_00066,task_only,lure,1.1407092131579415,1.5551643636361983,-0.41445515047825676
task_only_00067,task_only,target,2.590286815384808,2.328605863829657,0.2616809515551508
task_only_00067,task_only,lure,2.9700835272729322,2.681516436734938,0.28856709053799445
task_only_00068,task_only,target,2.15511716666515,3.0178963619054273,-0.8627791952402775
task_only_00068,task_only,lure,2.0419254809551473,1.7509738641040316,0.2909516168511157
task_only_00069,task_only,target,2.3526552249998836,1.8564622916666547,0.4961929333332289
task_only_00069,task_only,lure,2.396806679999948,2.5181708799998885,-0.12136419999994041
task_only_00070,task_only,target,2.7574827645167392,1.9360161241402865,0.8214666403764528
task_only_00070,task_only,lure,2.5489832519972695,1.9733112371435189,0.5756720148537506
task_only_00071,task_only,target,2.590286815384808,2.328605863829657,0.2616809515551508
task_only_00071,task_only,lure,2.9700835272729322,2.681516436734938,0.28856709053799445
task_only_00072,task_only,target,2.840898374998748,,
task_only_00072,task_only,lure,2.324260405356784,3.477905700012343,-1.153645294655559
